source,target,similarity,source_country,target_country
Warner Bros. Games F,Santé publique Franc,0.7658180512831769,FR,FR
Warner Bros. Games F,Sport en France,0.7879551582632452,FR,FR
Warner Bros. Games F,MAGGI France,0.8579095981230542,FR,FR
Warner Bros. Games F,Magyar Közöny Podcas,0.7777369574906657,FR,HU
Warner Bros. Games F,Nemzeti Filmintézet,0.8562845098886124,FR,HU
Women in Games Franc,Startup Bootcamp Fra,0.782326632101269,FR,FR
Women in Games Franc,ASTEN SANTE,0.9307058348532287,FR,FR
Women in Games Franc,Magyar Viktor Stream,0.7966937733292655,FR,HU
Women in Games Franc,Luxembourg School of,0.8523668978813048,FR,LU
Women in Games Franc,パリ Franceのマルシェから,0.7842722915042761,FR,FR
Women in Games Franc,Sheikh sathi lifesty,0.7629873843658467,FR,FR
Women in Games Franc,French Lifestyle,0.7615918228232307,FR,FR
Women in Games Franc,Tamanna’s Kitchen & ,0.822456738322183,FR,FR
Women in Games Franc,Jahanara lifestyle f,0.7823654691157799,FR,FR
Women in Games Franc,Gay in Rural France ,0.9451149646539632,FR,FR
Women in Games Franc,Magyar E-sport Szöve,0.7742589160607662,FR,HU
Women in Games Franc,Magyar Funkcionális ,0.8034193406034683,FR,HU
Women in Games Franc,12 Tone Music,0.7657409299748691,FR,HU
Women in Games Franc,Anibarátok Podcast,0.8033516457658841,FR,HU
Women in Games Franc,"Trader Rock - Forex,",0.8492987245131369,FR,HU
Women in Games Franc,HUSZONEGY Bitcoin po,0.8674217764998237,FR,HU
Women in Games Franc,Choeur de Chambre de,0.8472937663898323,FR,LU
Women in Games Franc,Vaibhav KKM,0.7573584128316376,FR,LU
Women in Games Franc,Le Recap Twitch,0.8340650344553645,FR,FR
France-Tech,Musique France,0.7651345788828517,FR,FR
France-Tech,Ricch Rock France,0.8031918012443238,FR,FR
France-Tech,Magyar Zene,0.8096442350809445,FR,HU
France-Tech,FlashGraphics Luxemb,0.9288331456057572,FR,LU
France-Tech,Magyar gamer,0.8162449328926114,FR,HU
Share it - Tech for ,Business France UK &,0.888908085408308,FR,FR
Share it - Tech for ,France Assos Santé I,0.77398338425484,FR,FR
