,channel_name,subscribers,engagement_rate,channel_heat_index
1,Frostbite Gaming,5430000,695.8893514015928,0.5955603876135892
2,SQUEEZIE GAMING,5060000,533.5119678830102,0.5357631634213975
3,The Frustrated Gamer,3430000,576.9502320844805,0.4880407083843329
4,Royalty Gaming,7540000,177.39296480199403,0.4717762883960105
5,MSA French,2570000,361.3918566568651,0.4239725543967149
6,Bluey - Français Chaîne Officielle,897000,566.4243930608773,0.3762528448907609
7,France tv sport,847000,346.20312372712664,0.3622132644920735
8,Jaime French,975000,145.40164061370194,0.3566395351141808
9,France Culture,836000,201.79535550794796,0.3544922357514598
10,Notre Histoire,832000,83.49275782120455,0.3484637720038169
11,Baloo Live,619000,203.16428567966773,0.344635937792341
12,Français avec Nelly,641000,52.30087784574439,0.3398010752239485
13,France Musique concerts,449000,333.605366135042,0.3385196636425702
14,SleepingBeauty,454000,183.42836689787023,0.3344475715124437
15,Joyce Meyer Ministries Français,414000,177.29010557945512,0.3315610469513962
16,Prime Video Sport France,289000,649.9902941512313,0.3311564978609881
17,NBA Extra - beIN SPORTS France,267000,759.5442601338572,0.330554382727927
18,Le Foot Français,376000,52.96959848511041,0.3256101932992833
19,Instant Gaming France,371000,15.584448559437844,0.324316940100559
20,Les Schtroumpfs • Français,220000,501.6815741746629,0.3193439668369615
21,BEYBLADE Français - Chaîne Officielle,203000,598.9006999965518,0.3184439777149376
22,Voyage Voyages,190000,139.5686759543371,0.3091979655121887
23,Not Even French,179000,130.80866028681405,0.3074788001715742
24,Thisu Beauty,170000,63.955435556261435,0.3051417806401582
25,Stream Aura,75500,1962.275797671554,0.3024154491881997
26,France・Table & Voyage,112000,201.2169087776002,0.2959784186690263
27,Best Of Fortnite France,97900,291.0664651025015,0.2933925884279906
28,Lashilé Beauty,2230,16911.97176154191,0.290678433976789
29,Legends Of Gaming France,80600,79.44503169935857,0.2861736413080664
30,Kumiko Recette,68300,44.50003660268517,0.2815860017629095
31,French For A Day,57800,168.08306084669815,0.2784072887457863
32,Santé publique France,34800,1745.6371943334962,0.2770265862069396
33,Warner Bros. Games France,25900,1064.3915292845836,0.2640381224238286
34,Sport en France,25700,459.7300494144197,0.2596609834446823
35,MAGGI France,17500,1363.970401691332,0.2555986769128744
36,Roronoa Zoro - Blox Fruits Francais - Roblox FR,21900,104.53458746175974,0.2531489081280089
37,PassioneBeauty France,22200,28.03567406873564,0.2529808159804466
38,LR Health & Beauty France,16300,18.349242377768235,0.2451071957544228
39,M•A•C Cosmetics France,15600,145.20011537721942,0.2449774024897708
40,Ina French Style,12500,382.2990160787137,0.2406682589964182
41,France Éducation international,10700,50.70283151107373,0.2346678176409579
42,Fitness France,8680,281.4501785508582,0.2310494614703568
43,Wasi Gaming,8190,524.3621047491149,0.2307368632168273
44,Poneeey Live (Gaming Vlog),7740,212.4629892778711,0.2274425596024195
45,LAROQ - Performance & fitness made in France,5980,93.0060190603578,0.2202081419704494
46,VoilaChef France,5830,74.04767621334248,0.2194550265481289
47,Agence Erasmus+ France / Education Formation,4280,1266.7227283345012,0.2185169266653769
48,NYX Professional Makeup France,1420,5964.9845179451095,0.217743371950664
49,Business France,4000,15.567858035491128,0.2095979335079143
50,"Thérèse [musique & podcast ""T'as mal où ?""]",3490,157.86536808937268,0.2069830391371811
51,Juste pour rire France,2210,845.5694255992763,0.1993073661785572
52,Daily French Voyage,2600,13.405228758169937,0.1987083939514166
53,Premiers Secours en Santé Mentale - France,2440,36.995903318312166,0.1972409012494931
54,Lékué France,2190,400.8717480602465,0.1965634296664572
55,Sheikh sathi lifestyle France,2010,75.12083540527101,0.1925561292555332
56,Tamanna’s Kitchen & Lifestyle France,1870,41.00320684126136,0.1905406217033596
57,Crêpes De France,1720,218.1464264962231,0.1894496028432979
58,French Lifestyle,1430,152.17260656883298,0.1843915301518463
59,Un Français à l'EPFL,1260,118.81998413957176,0.1810087793088194
60,Gay in Rural France - French Countryside Life,1250,67.84972022382094,0.1805285134795958
61,ASTEN SANTE,1220,78.7968877968878,0.1799780984696205
62,Women in Games France,1100,70.47229791099001,0.1773099497860666
63,パリ Franceのマルシェから,945,211.03805496828753,0.1742799670201573
64,Le Recap Twitch,854,166.03391812865496,0.1714649727084615
65,Urban Sports Club Youtube France,29,15224.933333333332,0.1702341137537119
66,Jahanara lifestyle france,799,40.875,0.1690768362589461
67,Onacook France,671,357.2113095238095,0.1664431913180291
68,Startup Bootcamp France,562,113.53463587921848,0.1606154821326577
69,FRED'S KITCHEN FRANCE,517,34.17953667953668,0.158062014648407
70,Un Français à Montréal 🇨🇦,505,73.11857707509881,0.1576866388287359
71,Culture de France,422,143.19858156028369,0.1535592866454107
72,Impulse Fitness France,359,59.019444444444446,0.149010473555659
73,Shark Beauty France,182,1908.2841530054643,0.1421846768491915
74,Onorina Jomir Beauty,237,496.7142857142857,0.1409873964417602
75,Miss Small Beauty France,256,124.06614785992218,0.1408545404070351
76,Vegan Fighter France,253,44.803149606299215,0.1401186220272855
77,Life style and Culture in france,170,926.157894736842,0.1350107714640311
78,Ultima Gaming France ,176,406.774011299435,0.1330018743953138
79,Association Santé Environnement France - ASEF,180,240.23756906077347,0.1326428605967183
80,oklm beauty France ,163,517.1463414634146,0.1316995091581394
81,Business France North America,181,36.137362637362635,0.1316505264641301
82,DEFI - La Mode de France,170,37.654970760233915,0.1300842164760881
83,Share it - Tech for good France,88,152.57303370786516,0.1142259553679887
84,Startup Leadership Program France,89,42.48888888888889,0.1138982845162223
