,channel_name,country,subscribers,channel_heat_index
111,Musique France,FR,27,0.0867128756320233
112,FHSE - University of Luxembourg,LU,29,0.0865443201848469
113,Ricch Rock France,FR,23,0.0847474277437871
114,POV VLOGGER ,FR,19,0.0814179065578576
115,Csak egy magyar youtuber,HU,22,0.0795760652987562
116,LuxUnplugged Podcast,LU,17,0.0732963690614791
117,Magyar Gamer Róka,HU,16,0.0721029291724551
118,Froothie Luxembourg,LU,10,0.0619781457347592
119,Bangali meye in French lifestyle ,FR,7,0.0576232457561957
120,Inspirations Luxembourg,LU,7,0.0533019829726621
121,Positive Psy Luxembourg,LU,5,0.0456518130480157
122,Santé Optimale France,FR,3,0.0358266860593074
123,Wolfs_Blue Luxemburg Gamer,LU,2,0.0280307200000891
