,channel_name,country,subscribers,channel_heat_index
1,MSA French,FR,2570000,0.4239725543967149
2,Bluey - Français Chaîne Officielle,FR,897000,0.3762528448907609
3,France tv sport,FR,847000,0.3622132644920735
4,Jaime French,FR,975000,0.3566395351141808
5,France Culture,FR,836000,0.3544922357514598
6,Notre Histoire,FR,832000,0.3484637720038169
7,Baloo Live,FR,619000,0.344635937792341
8,Français avec Nelly,FR,641000,0.3398010752239485
9,France Musique concerts,FR,449000,0.3385196636425702
10,Indian Mom in Europe Komal Vlogs,LU,291000,0.3353925894226176
11,SleepingBeauty,FR,454000,0.3344475715124437
12,Joyce Meyer Ministries Français,FR,414000,0.3315610469513962
13,Prime Video Sport France,FR,289000,0.3311564978609881
14,NBA Extra - beIN SPORTS France,FR,267000,0.330554382727927
15,Le Foot Français,FR,376000,0.3256101932992833
16,Instant Gaming France,FR,371000,0.324316940100559
17,Les Schtroumpfs • Français,FR,220000,0.3193439668369615
18,BEYBLADE Français - Chaîne Officielle,FR,203000,0.3184439777149376
19,SRAM,HU,232000,0.3172616886366559
20,Magyar Barbara,HU,181000,0.3105497820961761
21,Voyage Voyages,FR,190000,0.3091979655121887
22,Not Even French,FR,179000,0.3074788001715742
23,Amélia jól szórakozik,HU,135000,0.3060428906285041
24,Thisu Beauty,FR,170000,0.3051417806401582
25,Stream Aura,FR,75500,0.3024154491881997
26,France・Table & Voyage,FR,112000,0.2959784186690263
27,Best Of Fortnite France,FR,97900,0.2933925884279906
28,Lashilé Beauty,FR,2230,0.290678433976789
29,Feriha - Magyar Szinkron,HU,73200,0.2905216657902869
30,Legends Of Gaming France,FR,80600,0.2861736413080664
31,Kumiko Recette,FR,68300,0.2815860017629095
32,French For A Day,FR,57800,0.2784072887457863
33,Santé publique France,FR,34800,0.2770265862069396
34,Nemzeti Filmintézet,HU,37000,0.2701370100477092
35,Ala Luxembourg Lo | అల లక్సెంబర్గ్ లో,LU,40900,0.2686113500173628
36,Magyar Közöny Podcast,HU,36800,0.26810493729447
37,Warner Bros. Games France,FR,25900,0.2640381224238286
38,Sport en France,FR,25700,0.2596609834446823
39,Magyar LoLTV,HU,25200,0.2585224707763198
40,MAGGI France,FR,17500,0.2555986769128744
41,Roronoa Zoro - Blox Fruits Francais - Roblox FR,FR,21900,0.2531489081280089
42,PassioneBeauty France,FR,22200,0.2529808159804466
43,The Escape Plans,LU,20400,0.2511487382356188
44,Rubicon Történelem,HU,17000,0.2499844452798242
45,Monster High Magyarország,HU,17400,0.2494265832839044
46,Távoktatás magyar nyelven,HU,16000,0.2467133956282314
47,Luxemburger Landwirtschaft,LU,15300,0.2451113724303587
48,LR Health & Beauty France,FR,16300,0.2451071957544228
49,M•A•C Cosmetics France,FR,15600,0.2449774024897708
50,CHL Luxembourg,LU,13500,0.2433629600450521
51,Ina French Style,FR,12500,0.2406682589964182
52,France Éducation international,FR,10700,0.2346678176409579
53,Wasi Gaming,FR,8190,0.2307368632168273
54,Elit Oktatás,HU,7850,0.2276626255183211
55,Poneeey Live (Gaming Vlog),FR,7740,0.2274425596024195
56,TotoFPV Tech,HU,7040,0.2250436245677065
57,Luxemburger Wort,LU,5540,0.2212065215378625
58,LAROQ - Performance & fitness made in France,FR,5980,0.2202081419704494
59,VoilaChef France,FR,5830,0.2194550265481289
60,Agence Erasmus+ France / Education Formation,FR,4280,0.2185169266653769
61,Christian Lavey - Magician - Video Creator - Fun,LU,3880,0.2094957428146187
62,YONZAN VLOG,LU,3630,0.2075625326585607
63,PwC Luxembourg,LU,3390,0.206864131045516
64,MKUK - Magyar Kanizsai Udvari Kamaraszínház,HU,3170,0.2066009755733159
65,Juste pour rire France,FR,2210,0.1993073661785572
66,"Ministère de l'Education nationale, de l'Enfance et de la Jeunesse",LU,2150,0.1983892298083313
67,Lékué France,FR,2190,0.1965634296664572
68, Poroszka Magyar Zsolt -  White Horse Film Hungary,HU,1970,0.1934096224588762
69,LUNEX,LU,764,0.1751033688895672
