country,channel_id,channel_name,subscriber_count,total_videos,total_views,avg_views_per_video,engagement_rate,normalized_engagement_rate,government_criticism_rate,multilingual_content_rate,avg_num_languages,primary_language,political_stance,democracy_index,avg_likes_per_video,avg_comments_per_video,data_collection_date
Hungary,UCs79hT5oifTehKExLA5CUvA,Alap Hírek,23,12,23172,1931.0,3.728638011393061,3.616778871051269,66.66666666666666,8.333333333333332,1.0833333333333333,hu,independent,0.42,66.0,6.0,2025-12-28
Hungary,UCXdKc39Kq-cMk0twnCLnT7w,Csaba Dömötör,1471,108,1471336,13623.481481481482,3.979580462926211,3.8601930490384246,55.55555555555556,0.9259259259259258,1.0092592592592593,hu,independent,0.42,527.7870370370371,14.37037037037037,2025-12-28
Hungary,UCkqmCNCu3FHx7la8Rq2WNRA,Csárdi Antal,808,135,808745,5990.7037037037035,4.2960389245064885,4.167157756771294,68.14814814814815,0.7407407407407408,1.0074074074074073,hu,independent,0.42,253.74814814814815,3.6148148148148147,2025-12-28
Hungary,UC6UqC3ccwKE2biNb72s83Zw,DW Magyar,2738,275,2738252,9957.28,2.0935253585133875,2.0307195977579857,60.0,0.0,1.0,hu,independent,0.42,185.51272727272726,22.945454545454545,2025-12-28
Hungary,UCbmE7CBZ18YjsDo64SkXquQ,Dr. Márki-Zay Péter,3181,175,3181686,18181.062857142857,6.942231257264231,6.7339643195463035,38.285714285714285,2.857142857142857,1.0285714285714285,hu,independent,0.42,1157.9771428571428,104.19428571428571,2025-12-28
Hungary,UCdmwJuhfOCri7-dx14slung,Frisshírek Podcast,408,48,408594,8512.375,2.2379183247918473,2.1707807750480916,29.166666666666668,16.666666666666664,1.1666666666666667,hu,independent,0.42,175.0625,15.4375,2025-12-28
Hungary,UCwRgC4e0TcESJKeYt7bZVFw,Hit Rádió,4560,360,4560824,12668.955555555556,4.538807022590655,4.402642811912935,66.94444444444444,0.5555555555555556,1.0055555555555555,hu,independent,0.42,549.8,25.219444444444445,2025-12-28
Hungary,UCzWVRR-23p41B4WTd6eH3QA,Hoppá! Show,1929,25,1929578,77183.12,2.0391505292867143,1.9779760134081128,76.0,12.0,1.12,hu,independent,0.42,1532.68,41.2,2025-12-28
Hungary,UCAvx9uxtvhnxNpnjutUei5A,Hír TV,598,93,598900,6439.784946236559,3.262147269994991,3.164282851895141,44.086021505376344,4.301075268817205,1.043010752688172,hu,independent,0.42,187.46236559139786,22.612903225806452,2025-12-28
Hungary,UCW_zf7VdaFoeZqVTlYht4oA,Kontroll,16462,398,16462744,41363.6783919598,4.324528158853712,4.194792314088101,34.17085427135678,0.5025125628140703,1.0050251256281406,hu,independent,0.42,1661.997487437186,126.78643216080403,2025-12-28
Hungary,UCHJ8gW2vKH5R3VohymtBCrQ,M1 - Híradó,496,66,496365,7520.681818181818,0.3235522246733754,0.31384565793317415,50.0,0.0,1.0,hu,independent,0.42,0.0,24.333333333333332,2025-12-28
Hungary,UCBfVaxkSqXOmCX4pge_rbYw,Magyar Közöny Podcast,9079,348,9079169,26089.566091954024,3.1526784004130772,3.058098048400685,81.60919540229885,0.28735632183908044,1.0028735632183907,hu,independent,0.42,764.933908045977,57.58620689655172,2025-12-28
Hungary,UCrt2WXYcl3ePyz5acWHS87A,Magyar Nemzet,994,68,994565,14625.95588235294,2.677351404885553,2.597030862738986,57.35294117647059,0.0,1.0,hu,independent,0.42,364.70588235294116,26.88235294117647,2025-12-28
Hungary,UCJPny77nNKt9Jv9D9a7_qrg,Mandiner,3351,100,3351261,33512.61,3.04813620902699,2.95669212275618,42.0,0.0,1.0,hu,independent,0.42,951.57,69.94,2025-12-28
Hungary,UCM-1sd-cXSuCsfWp8QMY_OQ,Telex․hu,28796,287,28796529,100336.33797909408,2.8219477423824237,2.737289310110951,43.55400696864111,0.34843205574912894,1.0034843205574913,hu,independent,0.42,2497.045296167247,334.3937282229965,2025-12-28
Hungary,UCyFnkDyMcj38sK4Ga8rEblw,Viccország,5610,175,5610298,32058.845714285715,2.921609511651609,2.833961226302061,48.0,0.0,1.0,hu,independent,0.42,864.4114285714286,72.22285714285714,2025-12-28
Hungary,UCccYxFWQFttJ434WHJjbaWQ,hirado․hu - Magyarország hírforrása,539,75,539794,7197.253333333333,3.514118348851599,3.408694798386051,40.0,0.0,1.0,hu,independent,0.42,247.50666666666666,5.413333333333333,2025-12-28
Hungary,UCkrx8IIOvS8ayjKrNqmg1-A,ÖT,1769,75,1769796,23597.28,1.46779628838578,1.4237623997342066,33.33333333333333,1.3333333333333335,1.0133333333333334,hu,independent,0.42,320.36,26.0,2025-12-28
Luxembourg,UCnAsAkwFWnBYWS0T-9eU73g,360Crossmedia,25,110,25012,227.38181818181818,23.04893651047497,1.544278746201823,34.54545454545455,10.909090909090908,1.1090909090909091,en,independent,0.85,52.36363636363637,0.045454545454545456,2025-12-28
Luxembourg,UCtzfyfD-93Z4d_5LsViXsLg,Alternativ Demokratesch Reformpartei,2,49,2489,50.795918367346935,4.781036560867818,0.32032944957814385,34.69387755102041,32.6530612244898,1.3673469387755102,de,independent,0.85,2.2448979591836733,0.1836734693877551,2025-12-28
Luxembourg,UC2DoxQMFD-pQzFOPTiMkXmw,AmChamLux,0,3,140,46.666666666666664,0.0,0.0,100.0,66.66666666666666,2.0,en,independent,0.85,0.0,0.0,2025-12-28
Luxembourg,UC7gdxu4HZ-lZmCwS2YgWw8Q,CSV - Chrëschtlech-Sozial Vollekspartei,9,142,9743,68.61267605633803,0.0,0.0,57.74647887323944,23.239436619718308,1.232394366197183,de,opposition,0.85,0.0,0.0,2025-12-28
Luxembourg,UCaEmXLrr0sNxwoJRTO34SRA,Chokitable Media,64,387,64590,166.89922480620154,2.601021830004645,0.1742684626103112,36.95090439276486,16.27906976744186,1.1627906976744187,en,independent,0.85,2.806201550387597,1.5348837209302326,2025-12-28
Luxembourg,UCagIFAR9S2HiYuzRy8DMOxg,Exploring The Benelux,0,1,0,0.0,,,0.0,0.0,1.0,de,independent,0.85,0.0,0.0,2025-12-28
Luxembourg,UCVZIMejammns_AsigHxxfFw,Gouvernement LU,146,19,146992,7736.421052631579,0.43607815391313814,0.029217236312180258,73.68421052631578,15.789473684210526,1.1578947368421053,fr,independent,0.85,33.73684210526316,0.0,2025-12-28
Luxembourg,UC4Feyq1eFZ6qABZxXJXJxrg,Hubert Hollerich,3,25,3647,145.88,0.9596928982725527,0.06429942418426103,16.0,16.0,1.16,fr,independent,0.85,1.04,0.36,2025-12-28
Luxembourg,UC484P4bSa5Z2AlugzMUuXNg,Kloer & Däitlech,16,25,16041,641.64,0.2680630883361386,0.01796022691852129,40.0,28.000000000000004,1.32,de,independent,0.85,1.68,0.04,2025-12-28
Luxembourg,UCJviJrXL7jP1HLEbpZgFcgg,LSAP,0,1,46,46.0,0.0,0.0,100.0,0.0,1.0,hr,independent,0.85,0.0,0.0,2025-12-28
Luxembourg,UCW2faOqcsCkHcnaQ71ZHrFw,Paperjam,6,36,6537,181.58333333333334,0.4130335016062414,0.027673244607618178,38.88888888888889,38.88888888888889,1.4166666666666667,en,independent,0.85,0.75,0.0,2025-12-28
Luxembourg,UCNt74KwUnzON9qRh5vLtu0Q,Roude Fuedem,125,169,125807,744.4201183431952,0.28217825717169953,0.01890594323050387,52.071005917159766,19.526627218934912,1.2011834319526626,de,independent,0.85,2.0414201183431953,0.05917159763313609,2025-12-28
Luxembourg,UCenzucUTX7W_jGOIEaI8eGQ,SvenClementClips,125,176,125690,714.1477272727273,0.25618585408544836,0.017164452223725042,84.6590909090909,22.727272727272727,1.2329545454545454,de,independent,0.85,1.8068181818181819,0.022727272727272728,2025-12-28
Luxembourg,UC5E-lqm0hYixrY61GAjXIdw,Tageblatt Lëtzebuerg,0,5,727,145.4,0.2751031636863824,0.01843191196698762,40.0,0.0,1.0,de,independent,0.85,0.4,0.0,2025-12-28
Luxembourg,UClyJuDl6EMX5xHtx51gvCpw,Zesummen Progressiv,109,168,109733,653.172619047619,0.32806904030692685,0.0219806257005641,67.26190476190477,23.214285714285715,1.244047619047619,de,independent,0.85,2.0892857142857144,0.05357142857142857,2025-12-28
