country,month,avg_views,avg_likes,avg_comments,avg_engagement_rate,multilingual_rate,num_channels
France,2025-07,99523.59585492229,2711.663212435233,279.0362694300518,0.03759403977084165,0.04145077720207254,9
France,2025-08,102371.08108108108,2952.0810810810813,335.2567567567568,0.042595147235102486,0.04054054054054054,9
France,2025-09,73417.20277777778,2319.027777777778,206.26111111111112,0.0576836325537538,0.019444444444444445,11
France,2025-10,75455.762,2216.41,159.46,0.0422941737891498,0.024,11
France,2025-11,65440.746666666666,2027.9577777777777,180.48222222222222,0.04637959148205346,0.03777777777777778,13
France,2025-12,52260.85144312394,1005.8404074702886,151.50169779286927,0.026591441961282096,0.017826825127334467,20
Hungary,2025-07,33310.98275862069,960.4103448275862,116.02068965517242,0.041594547910339584,0.02413793103448276,10
Hungary,2025-08,32680.061818181817,1002.9818181818182,97.36727272727273,0.045124987490140635,0.01090909090909091,13
Hungary,2025-09,28553.24403183024,1043.0132625994695,86.73474801061008,0.051423010763926615,0.010610079575596816,13
Hungary,2025-10,30548.22568093385,930.8443579766537,76.82684824902724,0.04737723834758995,0.005836575875486381,13
Hungary,2025-11,27597.527777777777,921.5718954248366,97.27124183006536,0.047685245101877154,0.0032679738562091504,13
Hungary,2025-12,23719.068,721.577,61.536,0.04032064842486495,0.011,18
Luxembourg,2025-07,462.5193370165746,1.5248618784530388,0.2430939226519337,0.029534318931645296,0.17679558011049723,9
Luxembourg,2025-08,592.7654320987655,2.691358024691358,1.4197530864197532,0.02442355602330593,0.16049382716049382,7
Luxembourg,2025-09,450.5,1.967741935483871,0.45161290322580644,0.03886761883918872,0.1881720430107527,9
Luxembourg,2025-10,891.7258064516129,27.258064516129032,0.21774193548387097,0.3907043454633334,0.1975806451612903,9
Luxembourg,2025-11,289.15671641791045,1.7350746268656716,0.40298507462686567,0.037093202985602126,0.26865671641791045,13
Luxembourg,2025-12,276.8081180811808,1.4944649446494465,0.44649446494464945,0.027990608605043057,0.1918819188191882,13
